N° DE EXP.,TÍTULO DE EXHIBICIÓN,PAÍS(ES) DE PRODUCCIÓN,DIRECTOR,AÑO ,
A-02304,LA ALACRANA,MEX,JOSÉ LUIS URQUIETA,1986,
A-02305,MAL DE PIEDRA,MEX,FEDERICO CHAO,1986,
A-02306,MAÑOSAS PERO SABROSAS,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1984,
A-02307,TIERRA DE RENCORES,MEX,JAIME CASILLAS,1986,
A-02308,DETECTIVES O LADRONES,MEX,MIGUEL MORAYTA,1966,
A-02309,TODA LA VIDA,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1986,
A-02310,LOS MAISTROS,MEX,RAFAEL VILLASEÑOR KURI,1987,
A-02311,MENTIRAS,MEX,ALBERTO MARISCAL/ABEL SALAZAR,1987,
A-02312,CAMINO DEL MAL,MEX,MIGUEL M. DELGADO,1956,
A-02313,SIETE EN LA MIRA II,MEX,PEDRO GALINDO III,1986,
A-02314,EL PLACER DE LA VENGANZA,MEX,HERNANDO NAME,1986,
A-02315,CARTUCHO CORTADO,MEX,RAFAEL VILLASEÑOR KURI,1986,
A-02316,SEÑORITAS A DISGUSTO,MEX,JULIÁN ABITIA,1986,
A-02317,SUNKA RAKU,MEX,HARI SAMA,2015,
A-02318,ME PERDERÉ CONTIGO,MEX,ZACARÍAS GÓMEZ URQUIZA,1952,
A-02319,"GABY, UNA HISTORIA VERDADERA",MEX-EUA,LUIS MANDOKI,1986,
A-02320,LA VENGANZA DE LA COYOTA /  LA COYOTA II,MEX,LUIS QUINTANILLA,1986,
A-02321,LO QUE IMPORTA ES VIVIR,MEX,LUIS ALCORIZA,1986,
A-02322,LOS DOS FRAILES,MEX,FERNANDO DURÁN ROJAS,1986,
A-02323,HERMELINDA LINDA II,MEX,JULIO ALDAMA,1986,
A-02324,CUANDO LOS HIJOS NO VIENEN,MEX,RAUL RAMÍREZ,1986,
A-02325,CONEXIÓN CRIMINAL,MEX,ALFONSO ROSAS PRIEGO,1986,
A-02326,CRISTOBAL COLÓN,MEX,JOSÉ DIAZ MORALES,1943,
A-02327,EL HIJO DEL VIENTO,MEX,LUIS QUINTANILLA,1986,
A-02328,EL CHAPARRO SE METE EN TODO,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1990,
A-02329,CABALGANDO CON LA MUERTE,MEX,ALFREDO GURROLA,1986,
A-02330,"LA ENTREVISTA DE LOS PRESIDENTES DIAZ Y TAFT EN EL PASO, TEXAS",MEX,HERMANOS ALVA,1909,
A-02331,ARRIBA MICHOACAN,MEX,FRANCISCO GUERRERO,1986,
A-02332,YERBA SANGRIENTA,MEX,ISMAEL RODRÍGUEZ,1986,
A-02333,LA BANDA DEL ACORDEÓN,MEX,RAFAEL PÉREZ GROVAS,1986,
A-02334,MAURO EL MOJADO,MEX,ALBERTO MARISCAL     ,1986,
A-02335,EL CAIFÁN DEL BARRIO,MEX,RAFAEL ROSALES DURÁN,1986,
A-02336,CAMPAÑA ELECTORAL ,MEX,JUAN C. AGUILAR,1910,
A-02337,DESNÚDATE MARCELA,MEX-ESP,RAMÓN FERNÁNDEZ,1986,
A-02338,LADRÓN,MEX,GILBERTO DE ANDA,1986,
A-02339,PERSEGUIDO POR LA LEY,MEX,FERNANDO DURÁN ROJAS,1986,
A-02340,"DE BANDAS, VIDAS Y OTROS SONES",MEX,SONIA FRITZ,1985,
A-02341,EL ATAQUE DE LOS PÁJAROS,MEX-PR-ITA-ESP,RENÉ CARDONA JR.,1986,
A-02342,CARRERAS EN PERALVILLO,MEX,JUAN C. AGUILAR,1910,
A-02343,JUAN SOLDADO,MEX,ENRIQUE CASTILLA,1919,
A-02344,CARNAVAL EN EL TRÓPICO/FIESTA EN EL TRÓPICO,MEX,CARLOS VILLATORO,1941,
A-02345,EL ECO DEL ABISMO,MEX,SANTIAGO J. SIERRA,1919,
A-02346,RETO A LA VIDA,MEX,RAFAEL BALEDÓN,1986,
A-02347,LA JOVEN/THE YOUNG ONE,MEX-EUA,LUIS BUÑUEL,1960,
A-02348,EL BUEN LADRÓN,MEX,MAURICIO DE LA SERNA,1956,
A-02349,"EL DIABLO, EL SANTO Y EL TONTO",MEX,RAFAEL VILLASEÑOR KURI,1985,
A-02350,EL GRAN MOYOCOYO,MEX,TITO NOVARO,1983,
A-02351,LA INDIA BONITA,MEX,ANTONIO HELÚ,1938,
A-02352,LA REBELION DE LOS COLGADOS (1986),MEX-ITA-FRA-RFA,JUAN LUIS BUÑUEL,1986,
A-02353,DERRUMBE,MEX,EDUARDO CARRASCO ZANINI,1985,
A-02354,OLOR A MUERTE,MEX,ISMAEL RODRÍGUEZ JR.,1986,
A-02355,EL MOFLES EN ACAPULCO,MEX,JAVIER DURÁN,1988,
A-02356,EL GARAÑÓN II,MEX,"ALBERTO ROJAS ""EL CABALLO""",1988,
A-02357,DIMENSIONES OCULTAS,MEX,RUBÉN GALINDO II,1986,
A-02358,EL ÚLTIMO TÚNEL,MEX,SERVANDO GONZÁLEZ,1987,
A-02359,CASOS DE ALARMA I,MEX,BENJAMÍN ESCAMILLA,1986,
A-02360,LAS MOVIDAS DEL MOFLES,MEX,JAVIER DURÁN,1986,
A-02361,COMBATE DE FLORES,MEX,JUAN C. AGUILAR,1910,
A-02362,WELCOME MARIA,MEX,JUAN LÓPEZ MOCTEZUMA,1987,
A-02363,LA MALDICIÓN DEL MONASTERIO,MEX,GLENN GEBHARD,1986,
A-02364,LAS INOCENTES,MEX,FELIPE CAZALS,1986,
A-02365,OLD MEXICO TODAY,MEX,DESCONOCIDO,1921,
A-02366,LAS LOBAS DEL RING,MEX,RENÉ CARDONA ,1964,
A-02367,NI DE AQUÍ NI DE ALLÁ,MEX,MARÍA ELENA VELASCO,1987,
A-02368,NIÑOS SOBRE PEDIDO,MEX,RAÚL RAMÍREZ,1987,
A-02369,LAMBERTO QUINTERO,MEX,MARIO HERNÁNDEZ,1987,
A-02370,DIARIO ÍNTIMO DE UNA CABARETERA,MEX,GILBERTO MARTÍNEZ SOLARES,1988,
A-02371,"ULAMA, EL JUEGO DE LA VIDA Y LA MUERTE",MEX,ROBERTO ROCHÍN,1986,
A-02372,APASIONADA,MEX,ALFREDO B. CREVENNA,1952,
A-02373,PARA SIEMPRE AMOR MÍO,MEX-ESP,TITO DAVISON,1954,
A-02374,LA CALAVERA NEGRA,MEX,JOSELITO RODRÍGUEZ,1959,
A-02375,NI POBRES NI RICOS,MEX,FERNANDO CORTÉS,1952,
A-02376,ULTRAJE AL AMOR,MEX,RAFAEL PORTILLO,1955,
A-02377,HOTEL VILLA GOERNE,MEX,BUSI CORTÉS,1981,
A-02378,AMOR CON AMOR SE PAGA,MEX,ERNESTO CORTÁZAR,1949,
A-02379,VÍSTETE CRISTINA,MEX,MIGUEL MORAYTA,1958,
A-02380,"FRANKENSTEIN, EL VAMPIRO Y CÍA.",MEX,BENITO ALAZRAKI,1961,
A-02381,LA MUJER QUE ENGAÑAMOS,MEX,HUMBERTO GÓMEZ LANDERO,1944,
A-02382,TRES ANGELITOS NEGROS,MEX,FERNANDO CORTÉS,1958,
A-02383,DOCTOR SATAN,MEX,MIGUEL MORAYTA,1966,
A-02384,SE ALQUILA MARIDO,MEX,MIGUEL M. DELGADO,1961,
A-02385,SE ACABARON LAS MUJERES,MEX,RAMÓN PEÓN,1946,
A-02386,EL CICLÓN DEL CARIBE,MEX,RAMÓN PEREDA,1950,
A-02387,LA MÁSCARA DE HIERRO,MEX,JOSELITO RODRÍGUEZ,1959,
A-02388,EL JINETE FANTASMA,MEX,RAFAEL E. PORTAS,1946,
A-02389,TRES MIL KILÓMETROS DE AMOR,MEX,AGUSTÍN P. DELGADO,1965,
A-02390,POBRE HUERFANITA,MEX,GILBERTO MARTÍNEZ SOLARES,1954,
A-02391,EL INTRUSO,MEX,MAURICIO MAGDALENO,1944,
A-02392,AMOR DE LOCURA,MEX,RAFAEL BALEDÓN,1952,
A-02393,TIRANDO A GOL,MEX,ÍCARO CISNEROS,1965,
A-02394,CONTIGO A LA DISTANCIA,MEX,GILBERTO MARTÍNEZ SOLARES,1954,
A-02395,LOS CONFINES,MEX,MITL VALDÉZ,1987,
A-02396,A RITMO DE TWIST,MEX,BENITO ALAZRAKI,1962,
A-02397,QUE ME MATEN EN TUS BRAZOS,MEX,RAFAEL BALEDÓN,1960,
A-02398,LA GAVIOTA,MEX,RAÚL DE ANDA,1954,
A-02399,CANASTA URUGUAYA,MEX,RENÉ CARDONA   ,1951,
A-02400,BLUE DEMON CONTRA CEREBROS INFERNALES,MEX,CHANO URUETA,1966,
A-02401,LOS TRES CALAVERAS,MEX,FERNANDO CORTÉS,1964,
A-02402,LA NORTEÑA DE MIS AMORES,MEX,CHANO URUETA,1948,
A-02403,LA MARCA DE SATANÁS,MEX,CHANO URUETA,1956,
A-02404,EL PISTOLERO DESCONOCIDO,MEX,MIGUEL M. DELGADO,1966,
A-02405,EL AMOR LAS VUELVE LOCAS,MEX,FERNANDO CORTÉS,1945,
A-02406,EL CASO DE LA MUJER ASESINADITA,MEX,TITO DAVISON,1954,
A-02407,TERCIO DE QUITES,MEX-ESP,EMILIO GÓMEZ MURIEL,1951,
A-02408,TÚ Y LAS NUBES,MEX-ESP,MIGUEL MORAYTA,1955,
A-02409,SE LA LLEVO EL REMINGTON,MEX,CHANO URUETA,1948,
A-02410,COMBATE DE FLORES,MEX,HERMANOS ALVA,1910,
A-02411,EL TANGO ES UNA HISTORIA,MEX,HUMBERTO RÍOS,1982,
A-02412,TRES MEXICANOS ARDIENTES,MEX,GILBERTO MARTÍNEZ SOLARES,1986,
A-02413,EL TAXI NEGRO,MEX,RAMIRO MELÉNDEZ,1980,
A-02414,BURLADA,MEX,FERNANDO A. RIVERO,1950,
A-02415,VA DE NUEZ,MEX,ALFREDO GURROLA,1986,
A-02416,ESTA NOCHE CENA PANCHO,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1985,
A-02417,RÁFAGA DE PLOMO,MEX,PEDRO GALINDO III,1985,
A-02418,EL EXTRA,MEX,MIGUEL M. DELGADO,1962,
A-02419,LA HIJA SIN PADRE / LE PODRÁS NEGAR TU NOMBRE,MEX,DAMIÁN ACOSTA ESPARZA,1984,
A-02420,EL PASQUIN,MEX,JOSÉ MARTÍN SULAIMÁN,2000,
A-02421,YO FUI UNA USURPADORA,MEX,MIGUEL MORAYTA,1945,
A-02422,CONCURSO DE AEREOPLANOS,MEX,HERMANOS ALVA,1910,
A-02423,LA MAFIA DEL CRIMEN,MEX,JULIO BRACHO,1957,
A-02424,NUESTRAS VIDAS,MEX,RAMÓN PEÓN,1949,
A-02425,TIERRA BAJA,MEX,MIGUEL ZACARÍAS,1950,
A-02426,LA NOCHE Y TÚ,MEX,CHANO URUETA,1946,
A-02427,LAS TRES ELENAS,MEX,EMILIO GÓMEZ MURIEL,1953,
A-02428,"CORRIDA DE ""COCHERITO DE BILBAO"" EN EL TOREO",MEX,JOSÉ CAVA,1910,
A-02429,"CORRIDA DE ""COCHERITO DE BILBAO"" Y GAONA EN EL TOREO",MEX,JOSÉ CAVA,1910,
A-02430,ADÁN Y EVA,MEX,ALBERTO GOUT,1956,
A-02431,LA PISTOLERA,MEX,MARIO HERNÁNDEZ,1979,
A-02432,CUANDO ACABA LA NOCHE,MEX-PR,JULIÁN SOLER,1964,
A-02433,CRUCES SOBRE EL YERMO,MEX,ALBERTO MARISCAL,1965,
A-02434,LA CORRIDA DE COVADONGA,MEX,HERMANOS ALVA,1910,
A-02435,EL VIZCONDE DE MONTECRISTO,MEX,GILBERTO MARTÍNEZ SOLARES,1954,
A-02436,ESTRATEGIA MATRIMONIO,MEX,ALBERTO GOUT,1966,
A-02437,EL MAL ,MEX-EUA,GILBERTO GAZCÓN,1965,
A-02438,CORRIDA DE SEGURA Y GAONA EN EL TOREO,MEX,JOSÉ CAVA,1910,
A-02439,LA DERROTA,MEX,CARLOS GONZÁLEZ MORANTE,1973,
A-02440,CUANDO ME VAYA,MEX,TITO DAVISON,1953,
A-02441,LOS ROCKEROS DEL BARRIO,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1985,
A-02442,EL PERRO Y LA CALENTURA/CONDUCTA,MEX,RAÚL KAMFFER,1973,
A-02443,ANTOLOGÍA DEL CINE MEXICANO (1931-1934),MEX,MANUEL GONZÁLEZ CASANOVA,1971,
A-02444,SOCIEDAD COLECTIVA QUECHEHUECA,MEX,EDUARDO MALDONADO,1971,
A-02445,MATEN AL FUGITIVO,MEX,RAÚL FERNÁNDEZ JR.,1986,
A-02446,ARDOR DE JUVENTUD,MEX,MARCELINO AUPART,1987,
A-02447,ADULTERIO,MEX,JOSÉ DÍAZ MORALES,1943,
A-02448,"ADIÓS NUEVA YORK, ADIOS",MEX-PR,DAMIÁN ROSAS,1973,
A-02449,EL MODERNO BARBA AZUL,MEX,JAIME SALVADOR,1946,
A-02450,DÍA DE MÁRTIRES,MEX,FERNANDO DURÁN ROJAS,1986,
A-02451,RELÁMPAGO,MEX,JULIO RUIZ LLANEZA,1987,
A-02452,LOS PLOMEROS Y LAS FICHERAS,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1987,
A-02453,LOS GATOS DE LAS AZOTEAS,MEX,GILBERTO MARTÍNEZ SOLARES,1987,
A-02454,LA VENGANZA DE LOS PUNKS,MEX,DAMIÁN ACOSTA ESPARZA,1987,
A-02455,ASESINO NOCTURNO,MEX,FERNANDO DURÁN ROJAS,1987,
A-02456,CARGAMENTO MORTAL/CARGA LADEADA,MEX,ALFREDO B. CREVENNA,1987,
A-02457,CORRIDA DE SEGURA Y GAONA EN EL TOREO,MEX,HERMANOS ALVA,1910,
A-02458,ESTO ES TANGO,MEX-ARG-PR,MARCOS ZURINAGA,1987,
A-02459,BENNY MORÉ: EL BÁRBARO DEL RITMO / HOY COMO AYER,MEX-CUBA,SERGIO VÉJAR / CONSTANTE RAPÍ DIEGO,1987-2005,
A-02460,LOS VERDULEROS 2a. PARTE,MEX,ADOLFO MARTÍNEZ SOLARES,1987,
A-02461,CORRIDA DE GAONA EN EL TOREO,MEX,JOSÉ CAVA,1910,
A-02462,DESTRAMPADOS EN LOS ANGELES,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1987,
A-02463,EL ANSIA DE MATAR,MEX,GILBERTO DE ANDA,1987,
A-02464,DURO Y PAREJO EN LA CASITA DEL PECADO,MEX,JESÚS FRAGOSO,1987,
A-02465,MAÑANA DE COBRE,MEX,MIGUEL MORA ,1985,
A-02466,EMILIANO ZAPATA EN VIDA Y MUERTE,MEX,ENRIQUE ROSAS,1919,
A-02467,EL MACHO,MEX,RAFAEL VILLASEÑOR KURI,1987,
A-02468,GIRA DEL CORONEL CANTÚ A TODOS LOS POBLADOS DEL DISTRITO NTE. DE BAJA CALIFORNIA,MEX,DESCONOCIDO,1919,
A-02469,LA JAULA DE ORO,MEX,SERGIO VÉJAR,1987,
A-02470,ESCUADRÓN PANTERA,MEX,ROGER MENDE,1987,
A-02471,HAZAÑAS DE EMILIANO ZAPATA /EL ATILA DEL SUR,MEX,DESCONOCIDO,1919,
A-02472,DÍAS DIFÍCILES,MEX,ALEJANDRO PELAYO,1987,
A-02473,LA FURIA DE UN DIOS,MEX-ESP,FELIPE CAZALS,1987,
A-02474,CLANDESTINO DESTINO,MEX,JAIME HUMBERTO HERMOSILLO,1987,
A-02475,HASTA QUE LA MUERTE NOS SEPARE,MEX,RAMÓN OBÓN,1987,
A-02476,LA LLAGA,MEX,LUIS G. PEREDO,1919,
A-02477,LA RIELERA,MEX,RAÚL FERNÁNDEZ,1987,
A-02478,"CORRIDA DE ""LAGARTIJILLO"", ""COCHERITO DE BILBAO"" Y GAONA",MEX,JOSÉ CAVA,1910,
A-02479,ESPERANZA,MEX-URSS,SERGIO OLHOVICH,1988,
A-02480,UNA NOVIA CAPRICHOSA,MEX,FRANCISCO DE LAVILLETE,1919,
A-02481,EL PRECIO DE LA GLORIA,MEX,FERNANDO OROZCO Y BERRA,1919,
A-02482,REPORTAJE DE DIVERSOS LUGARES DEL PAÍS SOBRE ASUNTOS INDUSTRIALES,MEX,FERNANDO OROZCO Y BERRA,1919,
A-02483,"GOITIA, UN DIOS PARA SÍ MISMO",MEX,DIEGO LÓPEZ,1989,
A-02484,SABOR A MÍ,MEX,RENÉ CARDONA JR.,1987,
A-02485,REPORTAJES SOBRE LOS RECURSOS Y BELLEZAS NATURALES DE SONORA,MEX,DESCONOCIDO,1919,
A-02486,REVISTA DE LAS FIESTAS DE LA PAZ,MEX,DESCONOCIDO,1919,
A-02487,HISTORIAS DE CIUDAD,MEX,RAÚL MONTERO / MARÍA NOVARO / GERARDO LARA / RAMÓN CERVANTES,1987,
A-02488,THE PRIDE OF MEXICO,EUA-MEX,ERNESTO VOLLRATH,1921,
A-02489,TRIBUNAL DE JUSTICIA,MEX,ALEJANDRO GALINDO,1943,
A-02490,ACORRALADO,MEX,RAFAEL VILLASEÑOR KURI,1988,
A-02491,EL SOLITARIO INDOMABLE,MEX,JOSÉ LUIS URQUIETA,1987,
A-02492,EL ROMPECABEZAS DE JUANILLO/LAS BRUJAS/JUANITO,MEX,JUAN ARTHENACK,1919,
A-02493,"CORRIDA DE TOROS EN MORELIA, COGIDA DE ""COCHERITO""",MEX,JUAN C. AGUILAR,1910,
A-02494,CORRIDA DE TOROS ORGANIZADA POR LA UNIÓN UNIVERSAL DE ESTUDIANTES,MEX,HERMANOS ALVA,1910,
A-02495,PRO JALISCO,MEX,JACOB GRANAT,1921,
A-02496,LA CIUDAD AL DESNUDO,MEX,GABRIEL RETES,1988,
A-02497,EL CHÁCHARAS,MEX,ALFREDO B. CREVENNA,1987,
A-02498,LA LEY DE LAS CALLES,MEX,GILBERTO DE ANDA,1988,
A-02499,LA GUERRERA VENGADORA,MEX,RAÚL FERNÁNDEZ JR.,1987,
A-02500,UN MACHO EN EL SALÓN DE BELLEZA,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1987,
A-02501,EL ZAPATERO BAILARÍN,MEX,RAÚL RAMÍREZ JR.,1987,
A-02502,VIAJE REDONDO,MEX,JOSÉ MANUEL RAMOS,1919,
A-02503,LA LECHERÍA,MEX,VÍCTOR MANUEL UGALDE,1987,
A-02504,EL REY DE LOS TAXISTAS,MEX,BENITO ALAZRAKI,1987,
A-02505,LA BANDA DEL AUTOMÓVIL/LA DAMA ENLUTADA,MEX,ERNESTO VOLLRATH,1919,
A-02506,ESCÁPATE CONMIGO,MEX,RENÉ CARDONA JR.,1988,
A-02507,LA LEYENDA DEL MANCO,MEX,JAIME CASILLAS,1987,
A-02508,PECADO,MEX,LUIS CÉSAR AMADORI,1950,
A-02509,VIRGEN DE MEDIANOCHE,MEX,ALEJANDRO GALINDO,1941,
A-02510,KUNG FU MORTAL,MEX,ÁNGEL RODRÍGUEZ,1983,
A-02511,XOCHIMILCO,MEX,EDUARDO MALDONADO,1987,
A-02512,JUEGO PELIGROSO/JOGO PERIGOSO,MEX-BRA,ARTURO RIPSTEIN,1966,
A-02513,EL GAVILÁN,MEX,RAMÓN PEREDA,1939,
A-02514,BESTIA NOCTURNA,MEX,HUMBERTO MARTÍNEZ MIJARES,1986,
A-02515,DICEN QUE SOY COMUNISTA,MEX,ALEJANDRO GALINDO,1951,
A-02516,CRYSTALSTONE,MEX,ANTONIO PELÁEZ,1986,
A-02517,NOCHES DE PERDICIÓN,MEX,JOSÉ DÍAZ MORALES,1951,
A-02518,PROPAGACIÓN DE LA MOSCA,MEX,JACOB GRANAT,1921,
A-02519,ASESINOS/COMERCIANTES DE NIÑOS,MEX,FERNANDO DURÁN ROJAS,1991,
A-02520,VIOLACIÓN,MEX,VALENTÍN TRUJILLO,1987,
A-02521,ZAPATA EN CHINAMECA,MEX,MARIO HERNÁNDEZ,1987,
A-02522,CORRIDA DE VICENTE SEGURA Y RODOLFO GAONA EN EL TOREO,MEX,JOSÉ CAVA,1910,
A-02523,QUE BUENA ESTÁ MI AHIJADA,MEX,JUAN JOSÉ MUNGUÍA,1986,
A-02524,CARRERA CONTRA LA MUERTE,MEX,GILBERTO DE ANDA,1987,
A-02525,EL CUATRERO,MEX,RAFAEL VILLASEÑOR KURI,1987,
A-02526,CORRIDA DE TOROS EN MEXICO,MEX,SALVADOR HERNÁNDEZ,1910,
A-02527,LA MUJER DEL PUEBLO / OTILIA RAUDA,MEX-ESP,DANA ROTBERG,2000,
A-02528,ACRÓBATAS EN EL CIRCO ORRIN ,MEX,HERMANOS STHAL,1906,
A-02529,EL DÍA DE LOS ALBAÑILES III,MEX,GILBERTO MARTÍNEZ SOLARES,1987,
A-02530,EL TIEMPO DEL DESPRECIO,MEX,MARGARITA SUZAN,1978,
A-02531,PANCHO EL SANCHO,MEX,"VÍCTOR MANUEL CASTRO ""GÜERO""",1987,
A-02532,DÍAS DE VIOLENCIA,MEX,JOSÉ LUIS URQUIETA,1987,
A-02533,UN MACHO EN LA CASA DE CITAS,MEX,"ALBERTO ROJAS ""EL CABALLO""",1989,
A-02534,LA CIUDAD SECRETA,MEX,ALFONSO CORONA ÁLVAREZ,1987,
A-02535,CAMINO LARGO A TIJUANA,MEX,LUIS ESTRADA,1987,
A-02536,DE MÉXICO A CHILPANCINGO,MEX,DESCONOCIDO,1910,
A-02537,DE MÉXICO A SAN RAFAEL,MEX,DESCONOCIDO,1910,
A-02538,ELLOS TRAJERON LA VIOLENCIA,MEX,ISMAEL RODRÍGUEZ,1988,
A-02539,BUSCANDO LA MUERTE,MEX,FERNANDO DURÁN,1987,
A-02540,EL FISCAL DE HIERRO III,MEX,DAMIÁN ACOSTA ESPARZA,1988,
A-02541,PASAPORTE A LA MUERTE,MEX,ISMAEL RODRÍGUEZ JR.,1987,
A-02542,NO LES PEDIMOS UN VIAJE A LA LUNA,MEX,MARICARMEN LARA,1986,
A-02543,COMISARIO EN TURNO,MEX,RAÚL DE ANDA,1948,
A-02544,MEDIANOCHE,MEX,TITO DAVISON,1948,
A-02545,FIERA SOLITARIA,MEX,HERNANDO NAME,1987,
A-02546,MI CAMPEÓN,MEX,CHANO URUETA,1951,
A-02547,PEPE EL TORO,MEX,ISMAEL RODRÍGUEZ   ,1952,
A-02548,LA VÍRGEN QUE FORJÓ UNA PATRIA,MEX,JULIO BRACHO,1942,
A-02549,EL SECUESTRO DE UN POLICÍA,MEX,ALFREDO B. CREVENNA,1985,
A-02550,RUSIA 1917,MEX-URSS-ITA,SERGUEI BONDARCHUK,1983,
A-02551,CUANDO ACABA LA NOCHE,MEX,EMILIO GÓMEZ MURIEL,1950,
A-02552,PASIÓN JAROCHA,MEX,CARLOS VÉJAR JR.,1949,
A-02553,AGUILUCHOS MEXICANOS,MEX,MIGUEL CONTRERAS TORRES/GUSTAVO SÁENZ DE SICILIA,1924,
A-02554,MURIERON A MITAD DEL RÍO,MEX,JOSÉ NIETO RAMÍREZ,1986,
A-02555,ENCUENTRO CON LA MUERTE,MEX,RAÚL DE ANDA JR.,1984,
A-02556,UN DÍA CRUCIAL PARA AUSENCIO PAREDES,MEX,EDUARDO HERRERA,1988,
A-02557,"TOHUI, EL PEQUEÑO PANDA DE CHAPULTEPEC",MEX,FERNANDO DURÁN ROJAS,1982,
A-02558,MONTE DE PIEDAD,MEX,CARLOS VÉJAR JR.,1950,
A-02559,LA LIGA DE LAS MUCHACHAS,MEX,FERNANDO CORTÉS,1949,
A-02560,MARCELO Y MARÍA,MEX,GILBERTO MARTÍNEZ SOLARES,1964,
A-02561,EL ABANDONADO,MEX,CHANO URUETA,1949,
A-02562,LA SEGUNDA MUJER,MEX,JOSÉ DÍAZ MORALES,1952,
A-02563,MUJERES DE TEATRO,MEX,RENÉ CARDONA,1951,
A-02564,VERACRUZ 1914,MEX,ALEJANDRA ISLAS,1987,
A-02565,PUEBLO DE BOQUILLA,MEX,ÁNGEL MADRIGAL,1981,
A-02566,BRUJOS Y CURANDEROS,MEX,JUAN FRANCISCO URRUSTI,1981,
A-02567,EL DÍA EN QUE VINIERON LOS MUERTOS,MEX,LUIS MANDOKI,1980,
A-02568,"YO NO LO SÉ DE CIERTO, LO SUPONGO",MEX,BENJAMÍN CANN,1982,
A-02569,RARAMURI RA' ITSAARA/HABLAN LOS TARAHUMARAS,MEX,ÓSCAR MENÉNDEZ,1983,
A-02570,SOMOS NOVIOS,MEX-ARG,ENRIQUE CARRERAS,1968,
A-02571,"MÉXICO, CALLE DE LA PROFESA",MEX,FELIPE DE JESÚS HARO,1906,
A-02572,LAS NOVIAS DEL LECHERO,MEX,"VÍCTOR MANUEL CASTRO ""GÜERO""",1988,
A-02573,UN ARMA DE DOS FILOS/SHARK,MEX-EUA,SAMUEL FULLER,1969,
A-02574,DEL ODIO NACE EL AMOR/THE TORCH/BELOVED,MEX-EUA,"EMILIO FERNÁNDEZ ""INDIO""",1949,
A-02575,"BONAMPAK, LA CIUDAD PERDIDA",MEX,RAÚL CONTLA,1989,
A-02576,THE TAMPICO OIL FIELDS OF MEXICO,MEX,OLIVER L. BROWN,1921,
A-02577,NACIDO PARA MATAR,MEX,JUAN MANUEL HERRERA,1986,
A-02578,PIOWACHUWE / LA VIEJA QUE ARDE,MEX,JUAN FRANCISCO URRUSTI,1984,
A-02579,CARACOL PÚRPURA,MEX,LUIS ALEJANDRO VELEZ,1985,
A-02580,EL ÚLTIMO CARTUCHO,MEX,ZACARÍAS GÓMEZ URQUIZA,1964,
A-02581,LOS CAÑONES DE SAN SEBASTIÁN/LA BATAILLE DE SAN SEBASTIAN,MEX-FRA-ITA,HENRI VERNEUIL,1967,
A-02582,"EL CAÑONERO MEXICANO ""BRAVO""",MEX,ENRIQUE ECHANIZ BRUST,1906,
A-02583,DESFILE DEL BANDO NACIONAL POR LA REELECCION DEL PRESIDENTE Y VICE... ,MEX,HERMANOS ALVA,1910,
A-02584,ARRUZA,MEX-EUA,BUDD BOETTICHER,1967,
A-02585,EL VIOLADOR INFERNAL,MEX,DAMIÁN ACOSTA ESPARZA,1988,
A-02586,LOS HIJOS DE SÁNCHEZ/THE CHILDREN OF THE SANCHEZ,MEX-EUA,HALL BARTLETT,1978,
A-02587,EL ÚLTIMO TRIUNFO,MEX,FERNANDO DURÁN ROJAS,1988,
A-02588,SÓLO PARA ADÚLTEROS,MEX,JESÚS FRAGOSO,1988,
A-02589,EL VERGONZOSO,MEX,MIGUEL M. DELGADO,1988,
A-02590,RUMBERA CALIENTE,MEX,ALFREDO B. CREVENNA,1988,
A-02591,EL JINETE DE LA DIVINA PROVIDENCIA,MEX,ÓSCAR BLANCARTE,1988,
A-02592,RETORNO A AZTLÁN,MEX,JUAN MORA CATLETT,1988,
A-02593,LOS PLACERES OCULTOS,MEX,RENÉ CARDONA JR.,1988,
A-02594,LOS RATEROS,MEX,"VÍCTOR MANUEL CASTRO ""GÜERO""",1988,
A-02595,RATAS DE VECINDAD,MEX,ALBERTO MARISCAL,1988,
A-02596,LA TAHIS,MEX,MARÍA CANTONI,1921,
A-02597,MUERTES ANUNCIADAS,MEX,JULIO RUIZ LLANEZA,1988,
A-02598,LOS CAMARONEROS,MEX,RAÚL ARAIZA,1988,
A-02599,VACACIONES DE TERROR,MEX,RENÉ CARDONA III,1988,
A-02600,PELEADOR A PUÑO LIMPIO,MEX-EUA-ESP,FRANK ZÚÑIGA,1988,
A-02601,LA PUERTA NEGRA,MEX,SERGIO VÉJAR,1988,
A-02602,ROSA DE DOS AROMAS,MEX,GILBERTO GAZCÓN,1989,
A-02603,EL HIJO DE LAMBERTO QUINTERO,MEX,MARIO HERNÁNDEZ,1988,
A-02604,FERIA DE PRIMAVERA EN LA CIUDAD DE AGUASCALIENTES,MEX,FEDERICO BOUVI,1910,
